,jd,ssn
1818-01-01,2385070.0,57.0
1818-02-01,2385102.0,54.6
1818-03-01,2385130.0,52.9
1818-04-01,2385160.0,52.6
1818-05-01,2385190.0,51.7
1818-06-01,2385222.0,50.3
1818-07-01,2385252.0,50.0
1818-08-01,2385282.0,49.7
1818-09-01,2385314.0,48.1
1818-10-01,2385344.0,45.6
1818-11-01,2385374.0,42.3
1818-12-01,2385404.0,39.9
1819-01-01,2385436.0,40.0
1819-02-01,2385466.0,39.9
1819-03-01,2385494.0,38.7
1819-04-01,2385526.0,37.6
1819-05-01,2385556.0,38.3
1819-06-01,2385586.0,39.6
1819-07-01,2385616.0,39.0
1819-08-01,2385648.0,38.5
1819-09-01,2385678.0,38.9
1819-10-01,2385708.0,38.9
1819-11-01,2385740.0,39.6
1819-12-01,2385770.0,38.6
1820-01-01,2385800.0,36.1
1820-02-01,2385832.0,35.3
1820-03-01,2385860.0,34.6
1820-04-01,2385892.0,32.7
1820-05-01,2385922.0,30.2
1820-06-01,2385952.0,27.5
1820-07-01,2385982.0,26.2
1820-08-01,2386014.0,24.8
1820-09-01,2386044.0,23.3
1820-10-01,2386074.0,22.7
1820-11-01,2386106.0,20.0
1820-12-01,2386136.0,17.5
1821-01-01,2386166.0,15.6
1821-02-01,2386198.0,12.9
1821-03-01,2386226.0,11.4
1821-04-01,2386256.0,12.0
1821-05-01,2386286.0,12.5
1821-06-01,2386318.0,11.6
1821-07-01,2386348.0,9.5
1821-08-01,2386378.0,7.8
1821-09-01,2386410.0,8.3
1821-10-01,2386440.0,9.3
1821-11-01,2386470.0,9.5
1821-12-01,2386500.0,9.8
1822-01-01,2386532.0,10.4
1822-02-01,2386562.0,10.6
1822-03-01,2386590.0,10.1
1822-04-01,2386622.0,8.5
1822-05-01,2386652.0,6.9
1822-06-01,2386682.0,6.6
1822-07-01,2386712.0,6.6
1822-08-01,2386744.0,6.5
1822-09-01,2386774.0,5.4
1822-10-01,2386804.0,3.4
1822-11-01,2386836.0,2.4
1822-12-01,2386866.0,1.9
1823-01-01,2386896.0,1.0
1823-02-01,2386928.0,0.3
1823-03-01,2386956.0,0.2
1823-04-01,2386986.0,0.2
1823-05-01,2387016.0,0.2
1823-06-01,2387048.0,1.6
1823-07-01,2387078.0,4.5
1823-08-01,2387108.0,6.7
1823-09-01,2387140.0,7.4
1823-10-01,2387170.0,8.7
1823-11-01,2387200.0,10.3
1823-12-01,2387230.0,10.5
1824-01-01,2387262.0,10.4
1824-02-01,2387292.0,10.5
1824-03-01,2387322.0,12.0
1824-04-01,2387352.0,15.2
1824-05-01,2387382.0,17.0
1824-06-01,2387414.0,15.6
1824-07-01,2387444.0,13.1
1824-08-01,2387474.0,12.3
1824-09-01,2387506.0,14.2
1824-10-01,2387536.0,14.6
1824-11-01,2387566.0,14.4
1824-12-01,2387596.0,16.4
1825-01-01,2387628.0,19.6
1825-02-01,2387658.0,23.4
1825-03-01,2387686.0,24.8
1825-04-01,2387718.0,23.8
1825-05-01,2387748.0,23.9
1825-06-01,2387778.0,26.2
1825-07-01,2387808.0,28.6
1825-08-01,2387840.0,29.6
1825-09-01,2387870.0,30.8
1825-10-01,2387900.0,33.2
1825-11-01,2387932.0,35.8
1825-12-01,2387962.0,38.4
1826-01-01,2387992.0,41.4
1826-02-01,2388024.0,43.9
1826-03-01,2388052.0,45.1
1826-04-01,2388082.0,47.8
1826-05-01,2388112.0,52.1
1826-06-01,2388144.0,57.2
1826-07-01,2388174.0,61.6
1826-08-01,2388204.0,64.8
1826-09-01,2388236.0,68.3
1826-10-01,2388266.0,71.3
1826-11-01,2388296.0,74.5
1826-12-01,2388326.0,77.5
1827-01-01,2388358.0,78.2
1827-02-01,2388388.0,78.5
1827-03-01,2388416.0,81.6
1827-04-01,2388448.0,84.1
1827-05-01,2388478.0,85.0
1827-06-01,2388508.0,84.1
1827-07-01,2388538.0,83.8
1827-08-01,2388570.0,86.3
1827-09-01,2388600.0,88.0
1827-10-01,2388630.0,89.5
1827-11-01,2388662.0,92.9
1827-12-01,2388692.0,98.0
1828-01-01,2388722.0,101.7
1828-02-01,2388754.0,104.1
1828-03-01,2388782.0,105.8
1828-04-01,2388814.0,105.7
1828-05-01,2388844.0,106.2
1828-06-01,2388874.0,106.9
1828-07-01,2388904.0,106.3
1828-08-01,2388936.0,104.6
1828-09-01,2388966.0,104.0
1828-10-01,2388996.0,106.9
1828-11-01,2389028.0,107.7
1828-12-01,2389058.0,104.5
1829-01-01,2389088.0,105.4
1829-02-01,2389120.0,108.0
1829-03-01,2389148.0,108.3
1829-04-01,2389178.0,108.6
1829-05-01,2389208.0,109.5
1829-06-01,2389240.0,110.9
1829-07-01,2389270.0,112.3
1829-08-01,2389300.0,114.5
1829-09-01,2389332.0,116.9
1829-10-01,2389362.0,118.5
1829-11-01,2389392.0,119.2
1829-12-01,2389422.0,118.6
1830-01-01,2389454.0,114.7
1830-02-01,2389484.0,109.5
1830-03-01,2389512.0,108.3
1830-04-01,2389544.0,110.9
1830-05-01,2389574.0,113.7
1830-06-01,2389604.0,116.4
1830-07-01,2389634.0,117.9
1830-08-01,2389666.0,116.0
1830-09-01,2389696.0,115.1
1830-10-01,2389726.0,112.1
1830-11-01,2389758.0,106.6
1830-12-01,2389788.0,102.4
1831-01-01,2389818.0,100.3
1831-02-01,2389850.0,100.7
1831-03-01,2389878.0,99.3
1831-04-01,2389908.0,95.0
1831-05-01,2389938.0,89.7
1831-06-01,2389970.0,83.4
1831-07-01,2390000.0,78.6
1831-08-01,2390030.0,77.8
1831-09-01,2390062.0,75.5
1831-10-01,2390092.0,70.9
1831-11-01,2390122.0,69.2
1831-12-01,2390152.0,69.0
1832-01-01,2390184.0,66.4
1832-02-01,2390214.0,61.0
1832-03-01,2390244.0,55.7
1832-04-01,2390274.0,51.9
1832-05-01,2390304.0,48.1
1832-06-01,2390336.0,46.0
1832-07-01,2390366.0,44.5
1832-08-01,2390396.0,40.3
1832-09-01,2390428.0,34.5
1832-10-01,2390458.0,29.8
1832-11-01,2390488.0,26.2
1832-12-01,2390518.0,22.4
1833-01-01,2390550.0,20.1
1833-02-01,2390580.0,19.4
1833-03-01,2390608.0,19.5
1833-04-01,2390640.0,18.7
1833-05-01,2390670.0,17.2
1833-06-01,2390700.0,15.4
1833-07-01,2390730.0,13.8
1833-08-01,2390762.0,13.5
1833-09-01,2390792.0,13.2
1833-10-01,2390822.0,12.6
1833-11-01,2390854.0,12.2
1833-12-01,2390884.0,12.4
1834-01-01,2390914.0,13.0
1834-02-01,2390946.0,13.0
1834-03-01,2390974.0,12.9
1834-04-01,2391004.0,14.1
1834-05-01,2391034.0,17.0
1834-06-01,2391066.0,20.4
1834-07-01,2391096.0,22.3
1834-08-01,2391126.0,22.9
1834-09-01,2391158.0,24.4
1834-10-01,2391188.0,29.7
1834-11-01,2391218.0,36.2
1834-12-01,2391248.0,40.4
1835-01-01,2391280.0,45.7
1835-02-01,2391310.0,53.1
1835-03-01,2391338.0,63.1
1835-04-01,2391370.0,74.2
1835-05-01,2391400.0,83.9
1835-06-01,2391430.0,91.7
1835-07-01,2391460.0,100.4
1835-08-01,2391492.0,111.8
1835-09-01,2391522.0,123.0
1835-10-01,2391552.0,134.1
1835-11-01,2391584.0,144.5
1835-12-01,2391614.0,155.6
1836-01-01,2391644.0,165.9
1836-02-01,2391676.0,173.2
1836-03-01,2391704.0,176.2
1836-04-01,2391736.0,178.7
1836-05-01,2391766.0,183.1
1836-06-01,2391796.0,193.5
1836-07-01,2391826.0,209.3
1836-08-01,2391858.0,221.0
1836-09-01,2391888.0,228.2
1836-10-01,2391918.0,230.4
1836-11-01,2391950.0,230.1
1836-12-01,2391980.0,232.4
1837-01-01,2392010.0,237.9
1837-02-01,2392042.0,243.0
1837-03-01,2392070.0,244.9
1837-04-01,2392100.0,244.0
1837-05-01,2392130.0,242.1
1837-06-01,2392162.0,235.8
1837-07-01,2392192.0,227.5
1837-08-01,2392222.0,218.2
1837-09-01,2392254.0,212.3
1837-10-01,2392284.0,211.9
1837-11-01,2392314.0,212.9
1837-12-01,2392344.0,210.3
1838-01-01,2392376.0,202.1
1838-02-01,2392406.0,194.5
1838-03-01,2392434.0,189.1
1838-04-01,2392466.0,185.3
1838-05-01,2392496.0,180.9
1838-06-01,2392526.0,175.4
1838-07-01,2392556.0,169.2
1838-08-01,2392588.0,167.7
1838-09-01,2392618.0,164.6
1838-10-01,2392648.0,155.7
1838-11-01,2392680.0,145.4
1838-12-01,2392710.0,136.8
1839-01-01,2392740.0,132.4
1839-02-01,2392772.0,134.4
1839-03-01,2392800.0,142.1
1839-04-01,2392830.0,146.2
1839-05-01,2392860.0,145.6
1839-06-01,2392892.0,143.9
1839-07-01,2392922.0,141.1
1839-08-01,2392952.0,138.4
1839-09-01,2392984.0,136.7
1839-10-01,2393014.0,136.3
1839-11-01,2393044.0,137.6
1839-12-01,2393074.0,138.3
1840-01-01,2393106.0,136.2
1840-02-01,2393136.0,129.4
1840-03-01,2393166.0,120.2
1840-04-01,2393196.0,113.6
1840-05-01,2393226.0,110.1
1840-06-01,2393258.0,108.4
1840-07-01,2393288.0,103.8
1840-08-01,2393318.0,95.8
1840-09-01,2393350.0,89.1
1840-10-01,2393380.0,84.7
1840-11-01,2393410.0,82.8
1840-12-01,2393440.0,83.2
1841-01-01,2393472.0,81.6
1841-02-01,2393502.0,78.2
1841-03-01,2393530.0,74.4
1841-04-01,2393562.0,69.9
1841-05-01,2393592.0,65.7
1841-06-01,2393622.0,62.2
1841-07-01,2393652.0,61.0
1841-08-01,2393684.0,60.2
1841-09-01,2393714.0,59.0
1841-10-01,2393744.0,57.6
1841-11-01,2393776.0,53.7
1841-12-01,2393806.0,48.3
1842-01-01,2393836.0,44.6
1842-02-01,2393868.0,42.4
1842-03-01,2393896.0,40.3
1842-04-01,2393926.0,39.7
1842-05-01,2393956.0,41.8
1842-06-01,2393988.0,41.8
1842-07-01,2394018.0,39.8
1842-08-01,2394048.0,38.0
1842-09-01,2394080.0,35.8
1842-10-01,2394110.0,33.7
1842-11-01,2394140.0,32.2
1842-12-01,2394170.0,31.3
1843-01-01,2394202.0,30.4
1843-02-01,2394232.0,29.1
1843-03-01,2394260.0,27.1
1843-04-01,2394292.0,23.8
1843-05-01,2394322.0,20.1
1843-06-01,2394352.0,18.2
1843-07-01,2394382.0,17.6
1843-08-01,2394414.0,18.1
1843-09-01,2394444.0,19.3
1843-10-01,2394474.0,20.4
1843-11-01,2394506.0,20.5
1843-12-01,2394536.0,19.4
1844-01-01,2394566.0,19.7
1844-02-01,2394598.0,21.4
1844-03-01,2394626.0,22.4
1844-04-01,2394658.0,23.7
1844-05-01,2394688.0,24.3
1844-06-01,2394718.0,24.3
1844-07-01,2394748.0,26.0
1844-08-01,2394780.0,29.2
1844-09-01,2394810.0,33.3
1844-10-01,2394840.0,37.9
1844-11-01,2394872.0,42.9
1844-12-01,2394902.0,47.3
1845-01-01,2394932.0,49.9
1845-02-01,2394964.0,51.1
1845-03-01,2394992.0,53.3
1845-04-01,2395022.0,56.2
1845-05-01,2395052.0,59.5
1845-06-01,2395084.0,64.1
1845-07-01,2395114.0,67.7
1845-08-01,2395144.0,69.1
1845-09-01,2395176.0,71.0
1845-10-01,2395206.0,73.3
1845-11-01,2395236.0,75.0
1845-12-01,2395266.0,78.2
1846-01-01,2395298.0,81.7
1846-02-01,2395328.0,84.4
1846-03-01,2395356.0,91.3
1846-04-01,2395388.0,97.8
1846-05-01,2395418.0,100.3
1846-06-01,2395448.0,102.1
1846-07-01,2395478.0,104.2
1846-08-01,2395510.0,105.4
1846-09-01,2395540.0,106.5
1846-10-01,2395570.0,106.3
1846-11-01,2395602.0,105.7
1846-12-01,2395632.0,108.2
1847-01-01,2395662.0,110.0
1847-02-01,2395694.0,116.4
1847-03-01,2395722.0,126.1
1847-04-01,2395752.0,138.4
1847-05-01,2395782.0,152.5
1847-06-01,2395814.0,161.0
1847-07-01,2395844.0,170.8
1847-08-01,2395874.0,182.1
1847-09-01,2395906.0,188.4
1847-10-01,2395936.0,194.3
1847-11-01,2395966.0,200.5
1847-12-01,2395996.0,205.4
1848-01-01,2396028.0,214.5
1848-02-01,2396058.0,219.9
1848-03-01,2396088.0,215.2
1848-04-01,2396118.0,207.6
1848-05-01,2396148.0,202.6
1848-06-01,2396180.0,204.4
1848-07-01,2396210.0,209.2
1848-08-01,2396240.0,213.3
1848-09-01,2396272.0,216.0
1848-10-01,2396302.0,216.7
1848-11-01,2396332.0,216.7
1848-12-01,2396362.0,213.4
1849-01-01,2396394.0,207.4
1849-02-01,2396424.0,200.1
1849-03-01,2396452.0,196.7
1849-04-01,2396484.0,193.6
1849-05-01,2396514.0,189.9
1849-06-01,2396544.0,186.4
1849-07-01,2396574.0,176.8
1849-08-01,2396606.0,167.2
1849-09-01,2396636.0,162.7
1849-10-01,2396666.0,157.0
1849-11-01,2396698.0,150.9
1849-12-01,2396728.0,148.5
1850-01-01,2396758.0,144.6
1850-02-01,2396790.0,141.0
1850-03-01,2396818.0,139.9
1850-04-01,2396848.0,139.3
1850-05-01,2396878.0,135.7
1850-06-01,2396910.0,129.4
1850-07-01,2396940.0,126.3
1850-08-01,2396970.0,127.4
1850-09-01,2397002.0,127.3
1850-10-01,2397032.0,126.8
1850-11-01,2397062.0,127.9
1850-12-01,2397092.0,127.4
1851-01-01,2397124.0,126.6
1851-02-01,2397154.0,126.1
1851-03-01,2397182.0,124.3
1851-04-01,2397214.0,122.2
1851-05-01,2397244.0,121.2
1851-06-01,2397274.0,121.7
1851-07-01,2397304.0,121.9
1851-08-01,2397336.0,118.3
1851-09-01,2397366.0,114.9
1851-10-01,2397396.0,115.4
1851-11-01,2397428.0,115.5
1851-12-01,2397458.0,113.6
1852-01-01,2397488.0,112.8
1852-02-01,2397520.0,111.8
1852-03-01,2397548.0,108.0
1852-04-01,2397580.0,106.0
1852-05-01,2397610.0,106.6
1852-06-01,2397640.0,104.8
1852-07-01,2397670.0,100.6
1852-08-01,2397702.0,96.6
1852-09-01,2397732.0,92.9
1852-10-01,2397762.0,89.6
1852-11-01,2397794.0,86.6
1852-12-01,2397824.0,84.5
1853-01-01,2397854.0,84.2
1853-02-01,2397886.0,85.4
1853-03-01,2397914.0,85.9
1853-04-01,2397944.0,83.6
1853-05-01,2397974.0,79.6
1853-06-01,2398006.0,75.9
1853-07-01,2398036.0,72.1
1853-08-01,2398066.0,68.3
1853-09-01,2398098.0,65.1
1853-10-01,2398128.0,62.1
1853-11-01,2398158.0,59.6
1853-12-01,2398188.0,57.3
1854-01-01,2398220.0,53.6
1854-02-01,2398250.0,48.7
1854-03-01,2398278.0,45.1
1854-04-01,2398310.0,41.9
1854-05-01,2398340.0,39.5
1854-06-01,2398370.0,39.3
1854-07-01,2398400.0,38.9
1854-08-01,2398432.0,38.0
1854-09-01,2398462.0,37.0
1854-10-01,2398492.0,35.0
1854-11-01,2398524.0,32.1
1854-12-01,2398554.0,29.6
1855-01-01,2398584.0,26.9
1855-02-01,2398616.0,24.5
1855-03-01,2398644.0,21.7
1855-04-01,2398674.0,19.7
1855-05-01,2398704.0,17.5
1855-06-01,2398736.0,14.2
1855-07-01,2398766.0,11.8
1855-08-01,2398796.0,10.3
1855-09-01,2398828.0,8.5
1855-10-01,2398858.0,7.3
1855-11-01,2398888.0,6.7
1855-12-01,2398918.0,6.0
1856-01-01,2398950.0,6.3
1856-02-01,2398980.0,6.9
1856-03-01,2399010.0,7.5
1856-04-01,2399040.0,7.4
1856-05-01,2399070.0,7.3
1856-06-01,2399102.0,7.9
1856-07-01,2399132.0,9.3
1856-08-01,2399162.0,10.5
1856-09-01,2399194.0,11.1
1856-10-01,2399224.0,11.8
1856-11-01,2399254.0,14.5
1856-12-01,2399284.0,17.6
1857-01-01,2399316.0,19.8
1857-02-01,2399346.0,22.1
1857-03-01,2399374.0,26.0
1857-04-01,2399406.0,31.8
1857-05-01,2399436.0,36.6
1857-06-01,2399466.0,40.8
1857-07-01,2399496.0,45.2
1857-08-01,2399528.0,49.4
1857-09-01,2399558.0,55.7
1857-10-01,2399588.0,62.0
1857-11-01,2399620.0,65.1
1857-12-01,2399650.0,68.4
1858-01-01,2399680.0,73.4
1858-02-01,2399712.0,79.1
1858-03-01,2399740.0,85.2
1858-04-01,2399770.0,92.2
1858-05-01,2399800.0,97.8
1858-06-01,2399832.0,101.8
1858-07-01,2399862.0,107.6
1858-08-01,2399892.0,115.3
1858-09-01,2399924.0,122.1
1858-10-01,2399954.0,128.5
1858-11-01,2399984.0,136.1
1858-12-01,2400014.0,143.4
1859-01-01,2400046.0,149.8
1859-02-01,2400076.0,157.0
1859-03-01,2400104.0,163.1
1859-04-01,2400136.0,167.0
1859-05-01,2400166.0,172.4
1859-06-01,2400196.0,177.1
1859-07-01,2400226.0,178.1
1859-08-01,2400258.0,178.1
1859-09-01,2400288.0,178.8
1859-10-01,2400318.0,178.4
1859-11-01,2400350.0,178.5
1859-12-01,2400380.0,181.5
1860-01-01,2400410.0,185.0
1860-02-01,2400442.0,186.2
1860-03-01,2400470.0,184.6
1860-04-01,2400502.0,181.5
1860-05-01,2400532.0,179.7
1860-06-01,2400562.0,180.9
1860-07-01,2400592.0,180.4
1860-08-01,2400624.0,178.0
1860-09-01,2400654.0,177.3
1860-10-01,2400684.0,179.6
1860-11-01,2400716.0,177.8
1860-12-01,2400746.0,172.2
1861-01-01,2400776.0,167.5
1861-02-01,2400808.0,163.0
1861-03-01,2400836.0,160.6
1861-04-01,2400866.0,157.9
1861-05-01,2400896.0,152.6
1861-06-01,2400928.0,147.8
1861-07-01,2400958.0,146.7
1861-08-01,2400988.0,145.7
1861-09-01,2401020.0,140.1
1861-10-01,2401050.0,132.0
1861-11-01,2401080.0,129.1
1861-12-01,2401110.0,129.4
1862-01-01,2401142.0,128.7
1862-02-01,2401172.0,126.7
1862-03-01,2401200.0,124.1
1862-04-01,2401232.0,121.0
1862-05-01,2401262.0,118.8
1862-06-01,2401292.0,115.4
1862-07-01,2401322.0,111.1
1862-08-01,2401354.0,109.3
1862-09-01,2401384.0,110.5
1862-10-01,2401414.0,111.3
1862-11-01,2401446.0,109.4
1862-12-01,2401476.0,105.1
1863-01-01,2401506.0,98.5
1863-02-01,2401538.0,94.1
1863-03-01,2401566.0,89.4
1863-04-01,2401596.0,85.7
1863-05-01,2401626.0,84.5
1863-06-01,2401658.0,83.5
1863-07-01,2401688.0,84.3
1863-08-01,2401718.0,84.3
1863-09-01,2401750.0,83.5
1863-10-01,2401780.0,83.1
1863-11-01,2401810.0,81.7
1863-12-01,2401840.0,82.0
1864-01-01,2401872.0,85.1
1864-02-01,2401902.0,87.4
1864-03-01,2401932.0,88.5
1864-04-01,2401962.0,88.5
1864-05-01,2401992.0,89.6
1864-06-01,2402024.0,90.2
1864-07-01,2402054.0,88.5
1864-08-01,2402084.0,87.1
1864-09-01,2402116.0,84.4
1864-10-01,2402146.0,81.8
1864-11-01,2402176.0,80.8
1864-12-01,2402206.0,78.4
1865-01-01,2402238.0,74.3
1865-02-01,2402268.0,70.7
1865-03-01,2402296.0,68.8
1865-04-01,2402328.0,66.9
1865-05-01,2402358.0,63.0
1865-06-01,2402388.0,59.1
1865-07-01,2402418.0,56.5
1865-08-01,2402450.0,55.1
1865-09-01,2402480.0,53.8
1865-10-01,2402510.0,51.7
1865-11-01,2402542.0,49.1
1865-12-01,2402572.0,46.0
1866-01-01,2402602.0,43.3
1866-02-01,2402634.0,39.9
1866-03-01,2402662.0,36.8
1866-04-01,2402692.0,35.4
1866-05-01,2402722.0,34.0
1866-06-01,2402754.0,31.9
1866-07-01,2402784.0,28.5
1866-08-01,2402814.0,23.0
1866-09-01,2402846.0,18.8
1866-10-01,2402876.0,16.6
1866-11-01,2402906.0,14.8
1866-12-01,2402936.0,12.8
1867-01-01,2402968.0,11.3
1867-02-01,2402998.0,10.3
1867-03-01,2403026.0,9.9
1867-04-01,2403058.0,10.0
1867-05-01,2403088.0,10.0
1867-06-01,2403118.0,11.9
1867-07-01,2403148.0,14.9
1867-08-01,2403180.0,17.0
1867-09-01,2403210.0,19.1
1867-10-01,2403240.0,22.4
1867-11-01,2403272.0,26.2
1867-12-01,2403302.0,29.8
1868-01-01,2403332.0,33.5
1868-02-01,2403364.0,37.1
1868-03-01,2403392.0,41.6
1868-04-01,2403424.0,47.3
1868-05-01,2403454.0,53.9
1868-06-01,2403484.0,60.0
1868-07-01,2403514.0,65.8
1868-08-01,2403546.0,72.1
1868-09-01,2403576.0,77.0
1868-10-01,2403606.0,79.1
1868-11-01,2403638.0,84.8
1868-12-01,2403668.0,95.5
1869-01-01,2403698.0,103.0
1869-02-01,2403730.0,108.2
1869-03-01,2403758.0,113.7
1869-04-01,2403788.0,115.9
1869-05-01,2403818.0,117.0
1869-06-01,2403850.0,120.9
1869-07-01,2403880.0,124.6
1869-08-01,2403910.0,129.5
1869-09-01,2403942.0,140.7
1869-10-01,2403972.0,156.2
1869-11-01,2404002.0,169.5
1869-12-01,2404032.0,176.4
1870-01-01,2404064.0,183.4
1870-02-01,2404094.0,193.6
1870-03-01,2404122.0,202.6
1870-04-01,2404154.0,212.5
1870-05-01,2404184.0,223.4
1870-06-01,2404214.0,230.0
1870-07-01,2404244.0,232.5
1870-08-01,2404276.0,234.0
1870-09-01,2404306.0,233.7
1870-10-01,2404336.0,232.9
1870-11-01,2404368.0,231.0
1870-12-01,2404398.0,225.8
1871-01-01,2404428.0,220.7
1871-02-01,2404460.0,215.6
1871-03-01,2404488.0,208.7
1871-04-01,2404518.0,200.8
1871-05-01,2404548.0,193.9
1871-06-01,2404580.0,188.2
1871-07-01,2404610.0,184.9
1871-08-01,2404640.0,183.9
1871-09-01,2404672.0,179.7
1871-10-01,2404702.0,171.8
1871-11-01,2404732.0,164.9
1871-12-01,2404762.0,163.6
1872-01-01,2404794.0,165.0
1872-02-01,2404824.0,164.0
1872-03-01,2404854.0,165.2
1872-04-01,2404884.0,168.5
1872-05-01,2404914.0,169.9
1872-06-01,2404946.0,169.9
1872-07-01,2404976.0,170.0
1872-08-01,2405006.0,169.6
1872-09-01,2405038.0,169.3
1872-10-01,2405068.0,168.2
1872-11-01,2405098.0,162.3
1872-12-01,2405128.0,153.6
1873-01-01,2405160.0,146.4
1873-02-01,2405190.0,142.0
1873-03-01,2405218.0,135.6
1873-04-01,2405250.0,127.1
1873-05-01,2405280.0,119.3
1873-06-01,2405310.0,112.9
1873-07-01,2405340.0,108.7
1873-08-01,2405372.0,103.9
1873-09-01,2405402.0,97.4
1873-10-01,2405432.0,90.7
1873-11-01,2405464.0,87.4
1873-12-01,2405494.0,86.7
1874-01-01,2405524.0,86.3
1874-02-01,2405556.0,85.9
1874-03-01,2405584.0,84.1
1874-04-01,2405614.0,81.9
1874-05-01,2405644.0,79.2
1874-06-01,2405676.0,75.9
1874-07-01,2405706.0,71.3
1874-08-01,2405736.0,65.2
1874-09-01,2405768.0,61.3
1874-10-01,2405798.0,60.2
1874-11-01,2405828.0,57.7
1874-12-01,2405858.0,54.4
1875-01-01,2405890.0,49.6
1875-02-01,2405920.0,42.5
1875-03-01,2405948.0,37.5
1875-04-01,2405980.0,34.2
1875-05-01,2406010.0,31.9
1875-06-01,2406040.0,29.8
1875-07-01,2406070.0,28.4
1875-08-01,2406102.0,27.9
1875-09-01,2406132.0,27.3
1875-10-01,2406162.0,25.2
1875-11-01,2406194.0,22.9
1875-12-01,2406224.0,20.9
1876-01-01,2406254.0,19.5
1876-02-01,2406286.0,19.3
1876-03-01,2406314.0,19.4
1876-04-01,2406346.0,20.1
1876-05-01,2406376.0,19.6
1876-06-01,2406406.0,19.0
1876-07-01,2406436.0,19.5
1876-08-01,2406468.0,19.8
1876-09-01,2406498.0,18.1
1876-10-01,2406528.0,17.7
1876-11-01,2406560.0,19.8
1876-12-01,2406590.0,21.8
1877-01-01,2406620.0,22.0
1877-02-01,2406652.0,21.2
1877-03-01,2406680.0,21.5
1877-04-01,2406710.0,21.4
1877-05-01,2406740.0,21.2
1877-06-01,2406772.0,21.1
1877-07-01,2406802.0,19.2
1877-08-01,2406832.0,17.6
1877-09-01,2406864.0,17.2
1877-10-01,2406894.0,15.8
1877-11-01,2406924.0,13.6
1877-12-01,2406954.0,12.0
1878-01-01,2406986.0,11.0
1878-02-01,2407016.0,10.2
1878-03-01,2407044.0,8.9
1878-04-01,2407076.0,7.8
1878-05-01,2407106.0,6.7
1878-06-01,2407136.0,5.9
1878-07-01,2407166.0,5.6
1878-08-01,2407198.0,5.0
1878-09-01,2407228.0,4.0
1878-10-01,2407258.0,3.9
1878-11-01,2407290.0,4.1
1878-12-01,2407320.0,3.7
1879-01-01,2407350.0,4.1
1879-02-01,2407382.0,5.4
1879-03-01,2407410.0,6.2
1879-04-01,2407440.0,7.0
1879-05-01,2407470.0,8.4
1879-06-01,2407502.0,9.5
1879-07-01,2407532.0,11.6
1879-08-01,2407562.0,15.1
1879-09-01,2407594.0,18.3
1879-10-01,2407624.0,20.5
1879-11-01,2407654.0,22.9
1879-12-01,2407684.0,26.4
1880-01-01,2407716.0,29.4
1880-02-01,2407746.0,33.0
1880-03-01,2407776.0,39.8
1880-04-01,2407806.0,46.1
1880-05-01,2407836.0,49.4
1880-06-01,2407868.0,52.2
1880-07-01,2407898.0,54.6
1880-08-01,2407928.0,57.3
1880-09-01,2407960.0,61.3
1880-10-01,2407990.0,65.8
1880-11-01,2408020.0,69.4
1880-12-01,2408050.0,72.6
1881-01-01,2408082.0,78.3
1881-02-01,2408112.0,82.8
1881-03-01,2408140.0,82.6
1881-04-01,2408172.0,83.2
1881-05-01,2408202.0,86.4
1881-06-01,2408232.0,89.3
1881-07-01,2408262.0,91.1
1881-08-01,2408294.0,92.8
1881-09-01,2408324.0,95.1
1881-10-01,2408354.0,99.2
1881-11-01,2408386.0,103.7
1881-12-01,2408416.0,104.1
1882-01-01,2408446.0,100.8
1882-02-01,2408478.0,97.4
1882-03-01,2408506.0,96.5
1882-04-01,2408536.0,96.4
1882-05-01,2408566.0,98.1
1882-06-01,2408598.0,99.8
1882-07-01,2408628.0,100.5
1882-08-01,2408658.0,100.0
1882-09-01,2408690.0,96.7
1882-10-01,2408720.0,94.1
1882-11-01,2408750.0,90.9
1882-12-01,2408780.0,90.8
1883-01-01,2408812.0,95.4
1883-02-01,2408842.0,98.2
1883-03-01,2408870.0,98.2
1883-04-01,2408902.0,99.6
1883-05-01,2408932.0,101.3
1883-06-01,2408962.0,103.7
1883-07-01,2408992.0,108.2
1883-08-01,2409024.0,113.1
1883-09-01,2409054.0,119.0
1883-10-01,2409084.0,121.7
1883-11-01,2409116.0,123.7
1883-12-01,2409146.0,124.4
1884-01-01,2409176.0,120.8
1884-02-01,2409208.0,119.5
1884-03-01,2409236.0,120.9
1884-04-01,2409268.0,119.0
1884-05-01,2409298.0,113.2
1884-06-01,2409328.0,107.8
1884-07-01,2409358.0,102.5
1884-08-01,2409390.0,98.0
1884-09-01,2409420.0,94.4
1884-10-01,2409450.0,90.3
1884-11-01,2409482.0,89.3
1884-12-01,2409512.0,92.0
1885-01-01,2409542.0,95.1
1885-02-01,2409574.0,95.7
1885-03-01,2409602.0,93.7
1885-04-01,2409632.0,91.6
1885-05-01,2409662.0,90.5
1885-06-01,2409694.0,88.4
1885-07-01,2409724.0,85.7
1885-08-01,2409754.0,81.6
1885-09-01,2409786.0,79.0
1885-10-01,2409816.0,78.7
1885-11-01,2409846.0,75.0
1885-12-01,2409876.0,68.2
1886-01-01,2409908.0,61.7
1886-02-01,2409938.0,56.9
1886-03-01,2409966.0,53.3
1886-04-01,2409998.0,50.0
1886-05-01,2410028.0,45.7
1886-06-01,2410058.0,43.0
1886-07-01,2410088.0,41.0
